iter	Passed	Remaining
0	137	137729
1	139	69786
2	141	46988
3	143	35616
4	145	28856
5	151	25131
6	153	21757
7	154	19210
8	156	17229
9	157	15637
10	160	14395
11	163	13478
12	166	12638
13	168	11833
14	169	11140
15	171	10530
16	172	9990
17	175	9573
18	178	9229
19	180	8836
20	182	8486
21	183	8158
22	184	7855
23	186	7579
24	187	7324
25	189	7104
26	192	6921
27	193	6727
28	195	6540
29	196	6361
30	198	6192
31	199	6038
32	201	5896
33	202	5762
34	207	5718
35	210	5632
36	211	5515
37	213	5409
38	215	5306
39	216	5207
40	219	5129
41	223	5108
42	228	5075
43	229	4986
44	231	4906
45	232	4827
46	234	4755
47	237	4703
48	242	4705
49	244	4646
50	246	4583
51	247	4516
52	250	4479
53	253	4438
54	257	4417
55	258	4360
56	260	4305
57	263	4275
58	267	4267
59	271	4259
60	273	4211
61	275	4161
62	276	4116
63	278	4073
64	285	4108
65	287	4066
66	288	4024
67	290	3981
68	291	3938
69	293	3899
70	296	3880
71	298	3853
72	302	3842
73	305	3818
74	307	3786
75	309	3759
76	312	3739
77	316	3738
78	317	3705
79	319	3674
80	321	3644
81	322	3615
82	326	3605
83	328	3581
84	329	3552
85	331	3524
86	333	3501
87	335	3479
88	337	3454
89	341	3449
90	343	3427
91	347	3425
92	348	3402
93	350	3379
94	352	3355
95	354	3338
96	358	3335
97	362	3334
98	363	3311
99	365	3290
100	367	3269
101	371	3273
102	376	3274
103	377	3254
104	379	3233
105	380	3213
106	383	3197
107	384	3179
108	389	3181
109	391	3166
110	394	3157
111	395	3138
112	398	3131
113	401	3122
114	404	3113
115	406	3095
116	408	3079
117	410	3067
118	411	3048
119	417	3058
120	420	3056
121	421	3036
122	425	3033
123	427	3018
124	430	3012
125	434	3016
126	436	3003
127	438	2986
128	440	2972
129	443	2966
130	447	2970
131	450	2965
132	452	2949
133	454	2934
134	455	2919
135	457	2906
136	459	2897
137	463	2897
138	465	2886
139	467	2873
140	469	2859
141	471	2845
142	474	2846
143	478	2846
144	481	2839
145	483	2825
146	484	2810
147	485	2796
148	488	2789
149	491	2785
150	494	2782
151	496	2771
152	498	2760
153	500	2748
154	502	2739
155	505	2735
156	508	2732
157	510	2721
158	512	2710
159	514	2699
160	515	2685
161	523	2710
162	526	2702
163	527	2691
164	529	2679
165	531	2668
166	533	2659
167	538	2667
168	540	2657
169	542	2649
170	544	2639
171	545	2627
172	547	2618
173	552	2623
174	554	2615
175	557	2609
176	559	2601
177	562	2595
178	566	2597
179	570	2598
180	572	2589
181	574	2580
182	575	2570
183	577	2562
184	580	2559
185	584	2557
186	585	2547
187	587	2538
188	589	2528
189	591	2522
190	596	2525
191	599	2520
192	600	2512
193	602	2503
194	604	2493
195	605	2484
196	608	2480
197	610	2472
198	613	2470
199	616	2464
200	617	2456
201	619	2446
202	621	2439
203	624	2438
204	629	2440
205	631	2432
206	632	2424
207	634	2415
208	637	2412
209	640	2409
210	643	2404
211	647	2406
212	649	2399
213	652	2396
214	655	2392
215	659	2392
216	660	2383
217	662	2376
218	664	2368
219	670	2376
220	672	2371
221	674	2363
222	676	2355
223	677	2347
224	679	2339
225	682	2338
226	684	2332
227	689	2332
228	691	2326
